chair_id,parliament_year,start,end,person_id
009a4e39332248c6b9bdd160ab529963,1918.0,,,
02d01c0417314162acc7e0a3337dcc7b,1918.0,,,
0568b6fca64742c195dda03da095b418,1918.0,,,
1849745858fd4ad6bccb7d4bf4f310c7,1918.0,,,
1dbc9f2ecf6045ccaf42846aa63b7109,1918.0,,,
2251039bfcb14449b4c02c76791e4de6,1918.0,,,
25c53cddd8c644e2a854fcb30e3c5eca,1918.0,,,
275f8c4ddd0542158a4b689e3fbdc39d,1918.0,,,
28d32f3a8fca46a19cb9c2fdc83eca44,1918.0,,,
2c750c6225c54efdafb934489a0114ce,1918.0,,,
370b1e64f5fc428b95725008fbb1b58d,1918.0,,,
3b85214bc5b648cba810b4d041a6edf0,1918.0,,,
3fa919c76fe642f8bb34a3e8772b3fe4,1918.0,,,
402d702ec0fa4297bc0449fa677ff0d0,1918.0,,,
40e8517dacb945daa411827ee4d2ce0c,1918.0,,,
414fc1da480e4bebb8e0c61b0243811c,1918.0,,,
4385bc33ac4b4b79a537c1da5bb76b17,1918.0,,,
44605186675749b699b32aacd333c93b,1918.0,,,
4a40f0acaf4847c98485d0809675037d,1918.0,,,
52c552dad1b4403fafcc20e6c2b64e2c,1918.0,,,
5664eaf6392a4577883c8e3f0b5bed43,1918.0,,,
5b3d086028c3405cbbdf92e4e077f607,1918.0,,,
5c932c61066843c0808e7620d40d7252,1918.0,,,
5f367839647a40d1886a746e2a37c79b,1918.0,,,
5f93e987e5ac486f8e1202dd4b6ee68b,1918.0,,,
6208298d3f8f4613809dc900c9968b56,1918.0,,,
63f42c8a419d4821b330c9394825a113,1918.0,,,
649dd2e2baf04f5694cc6d39711a7a9c,1918.0,,,
656687207e5c4b56b01d68476ba64177,1918.0,,,
65ddad5b42c94cc5a0e6c9ac0e9a4ec2,1918.0,,,
6651f12cbfb94a51bb623617ba898952,1918.0,,,
66f42807ff094030afa692c5b2345017,1918.0,,,
6946c72f67e6400594b25cfa68df6b27,1918.0,,,
6bd7e28196a643209f628be07e76d5ff,1918.0,,,
70de872c624d4e66bb6ba78e64078991,1918.0,,,
723a4446e34d41ddbd2f7a3e947ee0f8,1918.0,,,
728a4f93e354488b8401692da736dc2a,1918.0,,,
72c97fe8b36d4131a187af9b157251dc,1918.0,,,
788d6ed15a7e4880ab62a76b76662697,1918.0,,,
79dd13d701ab4e88995b95a3b6d1d88f,1918.0,,,
7aa101a802ef4e5297b70acfc49c33b8,1918.0,,,
7b4e9a91da5a417081493357f901429a,1918.0,,,
7ba97da37d0f403a9549dd233365e726,1918.0,,,
7fb13465a31049db98e220797bce6bc0,1918.0,,,
83e2ec23b7cc4166ba003e8fe8e99637,1918.0,,,
85047af5df2f4b6c84159b6f2cc437ab,1918.0,,,
87ca3cdd14114a5580833f8de30d1201,1918.0,,,
88281f143d7f42879e33bd2e5fcceb78,1918.0,,,
8ac69fe7ab0a4256a9b18cfa886f0451,1918.0,,,
8ebb4a9062994cdc9235d4afc22a245c,1918.0,,,
951a470dd5fc40c7a87bd1fc820d31a6,1918.0,,,
952e41a7f1d74ee68e3666d63e817280,1918.0,,,
970284af79714d708e26920b58142d73,1918.0,,,
9759f36e865542ccb18ae2b2a403bcc9,1918.0,,,
9df753bf576a41dc97fd2456cc90be45,1918.0,,,
a2fb620212694e1c8cc1482540be7faf,1918.0,,,
a3edfed4d6794d83be5e266a497f1eba,1918.0,,,
a78ea7f1333743cfa0679da57363ca7d,1918.0,,,
ab823ebc1e83448899289b5696c03f59,1918.0,,,
b05f2f2023344dd5b65a1f4f6eb3c2f0,1918.0,,,
b5f789a357914040861eeb3ffe1c8dfa,1918.0,,,
ba28e28c0e6f43dfb8fedef6dbbdea1c,1918.0,,,
bcfac37a6fe7429bb92efaec464473cf,1918.0,,,
bfd0389911fe435eb65a81ee005f811e,1918.0,,,
c056e8a8d73a45818ec5b1b9d5e68761,1918.0,,,
c60a53bc12c44e158db9e8c72acd4a8f,1918.0,,,
c7df14b6abdb463dab2aadae45e29913,1918.0,,,
c8153eb73c5840349e50c7ba1fa65302,1918.0,,,
